ema;institucion;nombre_ema;comuna;region;latitud;longitud;fecha_de_alta
111;FDF;Los Coligues Ex - Chillan Viejo;San Fabián;Biobío;-36,629166667;-72,233333333;2013-03-08T06:49:12Z
112;FDF;Bulnes;Bulnes;Biobío;-36,735555556;-72,366944444;2013-03-08T06:49:10Z
113;FDF;Quillón;Quillón;Biobío;-36,745000000;-72,504722222;2013-03-08T06:49:12Z
114;FDF;San Nicolás;San Nicolás;Biobío;-36,517777778;-72,094444444;2013-03-08T06:49:12Z
115;FDF;Renaico;Renaico;Araucanía;-37,726111111;-72,604722222;2013-03-08T06:49:12Z
116;FDF;Mulchén;Mulchén;Biobío;-37,703611111;-72,216944444;2013-03-08T06:49:11Z
117;FDF;Negrete;Mulchén;Biobío;-37,595277778;-72,466666667;2013-03-08T06:49:11Z
118;FDF;Los Angeles;Los Ángeles;Biobío;-37,447222222;-72,517222222;2013-03-08T06:49:11Z
119;FDF;Las Viñas;Los Ángeles;Biobío;-37,501388889;-72,300555556;2013-03-08T06:49:11Z
120;FDF;Tierras Nobles;Los Ángeles;Biobío;-37,441944444;-72,617777778;2013-03-08T06:49:11Z
121;FDF;Collipulli;Collipulli;Araucanía;-38,001111111;-72,245555556;2013-03-08T06:49:11Z
122;FDF;Galvarino;Traiguén;Araucanía;-38,359166667;-72,709722222;2013-03-08T06:49:12Z
123;FDF;Traiguén;Traiguén;Araucanía;-38,357222222;-72,547500000;2013-03-08T06:49:12Z
124;FDF;Cunco;Cunco;Araucanía;-39,006666667;-72,251388889;2013-03-08T06:49:11Z
125;FDF;Pocoyan;Teodoro Schmidt;Araucanía;-38,992500000;-73,098888889;2013-03-08T06:49:12Z
126;FDF;Nueva Imperial;Nueva Imperial;Araucanía;-38,761388889;-72,877500000;2013-03-08T06:49:11Z
127;FDF;Freire;Freire;Araucanía;-38,971388889;-72,784166667;2013-03-08T06:49:11Z
128;FDF;Loncoche;Pucón;Araucanía;-39,393333333;-72,636666667;2013-03-08T06:49:12Z
129;FDF;Gorbea;Gorbea;Araucanía;-39,103055556;-72,615277778;2013-03-08T06:49:11Z
130;FDF;Pucon;Loncoche;Araucanía;-39,355833333;-71,781388889;2013-03-08T06:49:11Z
131;FDF;Mariquina;Mariquina;Los Ríos;-39,620833333;-73,073333333;2013-03-08T06:49:11Z
132;FDF;MAFIL;Máfil;Los Ríos;-39,631388889;-72,948333333;2013-03-08T06:49:11Z
133;FDF;Paillaco;Paillaco;Los Ríos;-40,096388889;-72,926666667;2013-03-08T06:49:11Z
135;FDF;Río Bueno;La Unión;Los Ríos;-40,322777778;-72,979444444;2013-03-08T06:49:11Z
136;FDF;La Union;La Unión;Los Ríos;-40,316666667;-73,024166667;2013-03-08T06:49:11Z
137;FDF;Osorno;Osorno;Los Lagos;-40,533333333;-73,072500000;2013-03-08T06:49:11Z
138;FDF;Purranque;Purranque;Los Lagos;-40,879444444;-73,052500000;2013-03-08T06:49:12Z
140;FDF;Río Negro;Río Negro;Los Lagos;-40,764722222;-73,151944444;2013-03-08T06:49:12Z
142;FDF;Aysén;Aysén;Aysén;-45,431944444;-72,714444444;2013-03-08T06:49:10Z
143;FDF;Coyhaique;Coyhaique;Aysén;-45,739722222;-72,125833333;2013-03-08T06:49:11Z
144;INIA;Azapa Alto;Arica;Arica y Parinacota;-18,577453833;-69,947264000;2013-03-08T06:49:10Z
145;INIA;Lago Chungará;Putre;Arica y Parinacota;-18,281824000;-69,138499833;2013-03-08T06:49:12Z
146;INIA;Colonia JF Lluta Bajo;Arica;Arica y Parinacota;-18,413709833;-70,206109833;2013-03-08T06:49:10Z
147;INIA;Lluta Alto;Arica;Arica y Parinacota;-18,393556000;-69,963339000;2013-03-08T06:49:10Z
148;INIA;Puro Chile - Lluta medio;Arica;Arica y Parinacota;-18,452168000;-70,067102000;2013-03-08T06:49:10Z
149;INIA;Socoroma;Putre;Arica y Parinacota;-18,263888833;-69,607675000;2013-03-08T06:49:12Z
150;INIA;Surire;Putre;Arica y Parinacota;-18,794647000;-69,084442833;2013-03-08T06:49:12Z
151;INIA;Truffa - Azapa medio;Arica;Arica y Parinacota;-18,547727833;-70,124645833;2013-03-08T06:49:10Z
152;INIA;Visviri;General Lagos;Arica y Parinacota;-17,594605000;-69,477417000;2013-03-08T06:49:12Z
153;INIA;Calama Rural;Calama;Antofagasta;-22,471029833;-68,942980000;2013-03-08T06:49:10Z
154;INIA;Ollague;Antofagasta;Antofagasta;-21,216700000;-68,233055556;2013-03-08T06:49:10Z
155;INIA;San Pedro de Atacama;San Pedro de Atacama;Antofagasta;-22,932200000;-68,213458000;2013-03-08T06:49:12Z
156;INIA;Socaire;San Pedro de Atacama;Antofagasta;-23,590585833;-67,890062833;2013-03-08T06:49:12Z
157;INIA;Toconao;San Pedro de Atacama;Antofagasta;-23,190500000;-68,007169000;2013-03-08T06:49:12Z
158;INIA;Algarrobo Bajo;Ovalle;Coquimbo;-30,633099833;-71,451409833;2013-03-08T06:49:11Z
159;INIA;CE Huasco Vallenar;Vallenar;Atacama;-28,581130000;-70,798289833;2013-03-08T06:49:12Z
160;INIA;Camarico;Ovalle;Coquimbo;-30,698989833;-71,321700000;2013-03-08T06:49:11Z
161;INIA;Monte Patria El Palqui;Monte Patria;Coquimbo;-30,774543833;-70,926831000;2013-03-08T06:49:11Z
162;INIA;La Platina;La Pintana;Metropolitana;-33,569870000;-70,627972833;2013-03-08T06:49:11Z
163;INIA;El Tambo;San Vicente;O'Higgins;-34,470992000;-70,986951000;2013-03-08T06:49:12Z
164;INIA;Cauquenes;Cauquenes;Maule;-35,955973000;-72,289938000;2013-03-08T06:49:11Z
165;INIA;Chanco;Chanco;Maule;-35,706556000;-72,511167000;2013-03-08T06:49:11Z
166;INIA;Coronel de Maule;Cauquenes;Maule;-36,059091833;-72,477688833;2013-03-08T06:49:11Z
167;INIA;Los Despachos;Cauquenes;Maule;-36,062114000;-72,371438833;2013-03-08T06:49:11Z
168;INIA;Santa Sofia;Cauquenes;Maule;-35,977643000;-72,359864000;2013-03-08T06:49:11Z
169;INIA;Sauzal;Cauquenes;Maule;-35,714879000;-72,111307833;2013-03-08T06:49:11Z
170;INIA;Cañete;Cañete;Biobío;-37,892071000;-73,411734833;2013-03-08T06:49:10Z
171;INIA;Chiguayante;Chiguayante;Biobío;-36,913490000;-73,035458000;2013-03-08T06:49:11Z
172;INIA;Coronel;Coronel;Biobío;-37,004823000;-73,140405000;2013-03-08T06:49:11Z
173;INIA;Human;Los Ángeles;Biobío;-37,433556000;-72,243975000;2013-03-08T06:49:11Z
174;INIA;Lebu;Lebu;Biobío;-37,682541000;-73,522166833;2013-03-08T06:49:11Z
175;INIA;Ninhue;Chillán;Biobío;-36,398105000;-72,395202833;2013-03-08T06:49:11Z
176;INIA;Nueva Aldea;Concepción;Biobío;-36,648899833;-72,513490000;2013-03-08T06:49:11Z
177;INIA;Portezuelo;Portezuelo;Biobío;-36,532037000;-72,368268000;2013-03-08T06:49:12Z
